periodStartTime,MO,M8020C3,M8020C6,M8006C1,M80006C0,M8013C5,M8013C17,M8013C18,M8013C19,M8013C34,M8013C31,M8013C21,M8013C93,M8013C20,M8006C261,M8006C254,M8006C255,M8006C258,M8006C8,M8006C9,M8006C277,M8006C301,M8006C314,M8006C309,M8006C310,M8006C311,M8006C312,M8006C313,M8006C6,M8006C7,M8006C303,M8006C306,M8012C25,M8012C22,M8012C20,M8012C19,M8051C58,M8051C56,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-5,900,900,18,,21,4,7,10,0,0,0,0,,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,49,236467,79075,2,2,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-12,900,900,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-13,900,900,1,,1,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,153,1,1,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-14,900,900,11,,11,5,4,2,0,0,0,0,,0,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13823,128,21449471,395246,2,2,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-12,900,900,2,,2,2,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,40,5222,6039,0,1,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-13,900,900,6,,5,0,1,4,0,0,0,0,,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2164,172,536863,65414,1,1,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-14,900,900,18,,18,0,8,10,0,0,0,0,,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8157,1520,1476214,304847,2,2,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-12,900,900,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-13,900,900,3,,3,1,1,1,0,0,0,0,,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,131,141028,39091,1,1,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-14,900,900,3,,4,1,0,3,0,0,0,0,,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1174,1316,2,2,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-12,900,900,0,,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-13,900,900,8,,9,1,7,1,0,0,0,0,,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,7655,9878,1,1,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-229027/LNBTS-223027/LNCEL-14,900,900,27,,27,0,19,8,0,0,0,0,,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,179,227270,92927,2,2,
